rec_id,item_id,stud_id,result,irt
1777,3.2.5,484,1,632
3006,3.2.5,605,1,394
3523,3.2.5,343,1,175
3577,3.2.5,385,1,57
4444,3.2.5,416,0,50
4445,3.2.5,416,0,55
4993,3.2.5,540,1,98
5311,3.2.5,346,1,56
5321,3.2.5,346,0,223
5353,3.2.5,129,0,203
5354,3.2.5,129,0,244
5409,3.2.5,369,1,153
5879,3.2.5,397,0,115
6273,3.2.5,529,1,54
6746,3.2.5,400,0,4
6806,3.2.5,413,0,663
6809,3.2.5,413,1,682
1146,3.2.6,703,1,47
1219,3.2.6,273,1,52
1380,3.2.6,413,1,50
1778,3.2.6,484,1,33
3433,3.2.6,34,1,16
3526,3.2.6,343,1,274
3802,3.2.6,428,1,43
4446,3.2.6,416,1,22
4994,3.2.6,540,1,93
5410,3.2.6,369,1,65
5883,3.2.6,397,1,60
6276,3.2.6,529,1,46
6346,3.2.6,163,1,21
6744,3.2.6,400,1,91
1234,3.2.7,273,1,1084
1862,3.2.7,484,0,8
1865,3.2.7,484,0,286
1866,3.2.7,484,0,350
3016,3.2.7,605,1,385
3580,3.2.7,385,1,224
4448,3.2.7,416,0,53
4999,3.2.7,540,1,102
5411,3.2.7,369,1,149
5895,3.2.7,397,0,181
6286,3.2.7,529,1,101
6749,3.2.7,400,0,162
6836,3.2.7,413,1,880
1244,3.2.8,273,1,111
1457,3.2.8,413,1,62
1783,3.2.8,484,1,302
3531,3.2.8,343,1,93
4375,3.2.8,87,0,58
5001,3.2.8,540,0,51
5002,3.2.8,540,1,59
5296,3.2.8,346,1,205
5413,3.2.8,369,1,151
5892,3.2.8,397,1,325
6288,3.2.8,529,1,21
1248,3.2.9,273,1,51
1392,3.2.9,413,0,88
1393,3.2.9,413,0,110
1789,3.2.9,484,1,159
3533,3.2.9,343,1,72
4460,3.2.9,416,1,35
5025,3.2.9,540,1,55
5349,3.2.9,346,1,504
5414,3.2.9,369,0,97
5415,3.2.9,369,1,109
5461,3.2.9,685,1,102
5886,3.2.9,397,1,56
6291,3.2.9,529,1,39
6841,3.2.9,413,1,128
